,OR,CI_low,CI_high,p_value
prior_stroke,2.2585725512624273,1.702524469701314,2.9962271086834953,1.603176539919608e-08
age_years,2.05608693915835,1.9072011769422823,2.216595476390841,8.356494392689126e-79
family_history_dementia,1.9401205569585165,1.4949223808645538,2.5179018146454952,6.258272880018099e-07
hearing_difficulty,1.6117122957959262,1.3027577912998842,1.9939366640270775,1.1036905797091781e-05
hypertension_dx,1.50139441020205,1.1654771785535254,1.9341306860968588,0.0016607815454601198
diabetes_dx,1.430395850264408,1.113369530401996,1.83769380478276,0.005110073383233135
lives_alone,1.4148789890598032,1.157304339661788,1.7297805642618806,0.0007120905246373561
marital_status_Married,1.400017252498618,0.9468073164765906,2.070165991732955,0.09178179525847394
marital_status_Widowed,1.3995457011169197,0.9368120887553217,2.09084425043797,0.10074223534957306
vision_difficulty,1.3718660154092917,1.1261142206079138,1.6712482000440347,0.0016937805109326436
hiv_status_Positive,1.3544814689630704,0.9128279129180853,2.0098202780626306,0.13181881784244914
social_engagement_Never,1.14012570823215,0.8094591669959158,1.6058705411861998,0.4530240767485626
employment_status_Subsistence Farming,1.1270670154598532,0.7163339201296751,1.7733071429978178,0.6049564146991593
gds15_score,1.1256270910180624,1.0355470850607167,1.2235429622782394,0.00542351226146869
physical_activity_level_Low,1.1059526243910105,0.8662402456603026,1.411999977517803,0.4191193798120839
employment_status_Retired,1.084550266124817,0.705725837294192,1.6667227095740786,0.7112185696420217
employment_status_Unemployed,1.045476370094145,0.6218361951610458,1.7577311339076276,0.8667647358033692
head_injury_history,1.0447081998642962,0.7310409056637399,1.4929605366922123,0.8102466374740371
diastolic_bp_mmhg,1.0408015839404048,0.9461100148763902,1.1449703735293248,0.4112400874973867
systolic_bp_mmhg,1.034053535939992,0.9377838365394394,1.1402059552825652,0.5018247152703085
fruit_veg_servings_per_day,1.011395748635587,0.9321195159259658,1.0974143796806692,0.7855579225988836
social_engagement_Weekly,0.998737293688962,0.825149480934533,1.208843009481686,0.9896513231808473
bmi_kg_m2,0.9854660101454372,0.9045566570928453,1.0736124150289539,0.7376621974861297
income_missing,0.9720692419472907,0.7787757698150524,1.2133384829941285,0.8022512429762308
employment_status_Informal Trading,0.9537465934476487,0.5876401544845621,1.5479414699134406,0.8480072210931532
smoking_status_Former,0.9518191586527619,0.5951455378977384,1.5222490182462212,0.8367040347192167
social_engagement_Rarely,0.9461252609592712,0.7595237940328565,1.178571384409486,0.6212423756634928
province_Harare,0.941827569236048,0.6625885179945734,1.338748176406443,0.7383591146580137
monthly_household_income_usd,0.933171375862909,0.8518253354581915,1.022285649981838,0.13719349933697028
takes_bp_medication,0.9325499062859937,0.7546172274173418,1.1524376811411636,0.5179630213403082
marital_status_Never Married,0.907457964570292,0.4770672120081903,1.7261298549436253,0.7672262200779116
residence_Urban,0.9026865014224613,0.6895197531362783,1.1817542806337498,0.4563324155145845
smoking_status_Never,0.8941788651068252,0.6385762159316428,1.252091485488898,0.5149465646548106
province_Matabeleland North,0.8699394535617634,0.5411995208426355,1.3983653416489124,0.5650497017863446
education_years,0.866671635029303,0.7840325210819348,0.958021131480425,0.005130170098211178
alcohol_use_Moderate,0.8281649103617282,0.5703673193659643,1.2024831989267315,0.3217352040979198
alcohol_use_None,0.8110672045228856,0.570004198704994,1.1540792361654668,0.2445689992030574
province_Matabeleland South,0.7800445507982691,0.4822955927225033,1.2616111579940694,0.3112398057624256
province_Manicaland,0.7712565107810241,0.5060747049590567,1.1753928809191212,0.22696050901217513
hiv_status_Unknown,0.7681028529292351,0.5405610260075868,1.0914253234929847,0.14104917985843649
province_Mashonaland East,0.761058387931031,0.4930771132941889,1.174684150255014,0.21759133572356615
sex_Male,0.736311509167879,0.607486603002981,0.8924553000067051,0.0018116840675033443
physical_activity_level_Moderate,0.7279374620544005,0.6015511020834471,0.8808776957218424,0.0011003323310000924
province_Mashonaland Central,0.6964275709333179,0.4326519740344986,1.1210196431864836,0.1363273614410816
province_Midlands,0.6925941339484738,0.44480370063605607,1.078423209370558,0.10399496013220039
province_Mashonaland West,0.6908240847635151,0.44781382629877814,1.06570607708512,0.09447554530362441
province_Masvingo,0.6455445266562648,0.41397963256160036,1.0066382573395125,0.05351081216888364
const,0.051059208099680495,0.02183804666709525,0.11938076566594541,6.661457495806329e-12
